================================================================================
TRIPLE SIGNAL SCANNER - ULTIMATE BUY SETUP RESULTS
================================================================================
Scan Date: 2025-12-21 19:35:17

SIGNAL CRITERIA (ALL MUST BE TRUE):
  1. In Channel: Price within 3-week range (consolidating)
  2. Price Zone: In buy zone (0-35% of range)
  3. EFI Momentum: Maroon or orange (oversold)
  4. Trend: Uptrend confirmed

Total TRIPLE SIGNALS Found: 124
================================================================================

TRIPLE SIGNAL SETUPS (Sorted by Range Position - Lower = Better):
--------------------------------------------------------------------------------
Ticker   Date         Price      Range        Pos %    EFI      Force Idx   
--------------------------------------------------------------------------------

TICKER: LSCC
  Date: 2025-12-18
  Price: $73.03
  Range: $70-$80
  Position in Range: 30.3%
  Buy Zone (25%): $72.50
  EFI Color: ORANGE
  Force Index: -2.39
  Normalized Price: 3.72
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: DOW
  Date: 2025-12-18
  Price: $23.04
  Range: $20-$30
  Position in Range: 30.4%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -0.56
  Normalized Price: -0.14
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: STEP
  Date: 2025-12-18
  Price: $63.04
  Range: $60-$70
  Position in Range: 30.4%
  Buy Zone (25%): $62.50
  EFI Color: ORANGE
  Force Index: -0.55
  Normalized Price: 0.79
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: DMAC
  Date: 2025-12-18
  Price: $8.31
  Range: $8-$9
  Position in Range: 31.0%
  Buy Zone (25%): $8.25
  EFI Color: ORANGE
  Force Index: -0.61
  Normalized Price: 0.97
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: STC
  Date: 2025-12-18
  Price: $73.15
  Range: $70-$80
  Position in Range: 31.5%
  Buy Zone (25%): $72.50
  EFI Color: ORANGE
  Force Index: -1.22
  Normalized Price: 0.91
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ST
  Date: 2025-12-18
  Price: $33.22
  Range: $30-$40
  Position in Range: 32.2%
  Buy Zone (25%): $32.50
  EFI Color: ORANGE
  Force Index: -0.86
  Normalized Price: 1.37
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: OWLT
  Date: 2025-12-18
  Price: $13.23
  Range: $10-$20
  Position in Range: 32.3%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.33
  Normalized Price: 2.34
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: PESI
  Date: 2025-12-18
  Price: $13.24
  Range: $10-$20
  Position in Range: 32.4%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.52
  Normalized Price: 0.73
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IDYA
  Date: 2025-12-18
  Price: $33.26
  Range: $30-$40
  Position in Range: 32.6%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -1.41
  Normalized Price: 2.32
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: COHU
  Date: 2025-12-18
  Price: $23.30
  Range: $20-$30
  Position in Range: 33.0%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -1.26
  Normalized Price: 0.61
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: PIPR
  Date: 2025-12-18
  Price: $343.31
  Range: $340-$350
  Position in Range: 33.1%
  Buy Zone (25%): $342.50
  EFI Color: ORANGE
  Force Index: -7.01
  Normalized Price: 8.39
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CWBC
  Date: 2025-12-18
  Price: $23.31
  Range: $20-$30
  Position in Range: 33.1%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -0.13
  Normalized Price: 1.44
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: F
  Date: 2025-12-18
  Price: $13.32
  Range: $10-$20
  Position in Range: 33.2%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.08
  Normalized Price: 0.68
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: HXL
  Date: 2025-12-18
  Price: $73.36
  Range: $70-$80
  Position in Range: 33.6%
  Buy Zone (25%): $72.50
  EFI Color: ORANGE
  Force Index: -1.60
  Normalized Price: 3.90
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CLRO
  Date: 2025-12-18
  Price: $5.35
  Range: $5-$6
  Position in Range: 35.0%
  Buy Zone (25%): $5.25
  EFI Color: ORANGE
  Force Index: -0.02
  Normalized Price: 0.02
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: AMAT
  Date: 2025-12-18
  Price: $253.50
  Range: $250-$260
  Position in Range: 35.0%
  Buy Zone (25%): $252.50
  EFI Color: ORANGE
  Force Index: -9.27
  Normalized Price: 22.58
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

================================================================================

TRADING STRATEGY:
  Entry: At current price (all signals aligned)
  Stop Loss: Below range floor (below support)
  Target 1: 25% zone → 75% zone (range midpoint)
  Target 2: Top of range (range ceiling)
  Exit Signal: When EFI turns lime (strong bullish)

LEGEND:
  Ticker: Stock symbol
  Date: Most recent trading date
  Price: Current stock price
  Range: $1 increment range (e.g., $2-$3)
  Pos %: Position within range (lower = more room to run)
  EFI: Force Index color (MAROON=strong bearish, ORANGE=weak bearish)
  Force Idx: Force Index value (negative = bearish momentum)
